tmc_name,tmc_article,web_code,tmc_price
"Монитор 27"" HP 27fw 3KS64AA 1920x1080 16:9 IPS 75ГЦ (HDMI+VGA) White",3KS64AA,135 489,"59 960,71"
"Внутренний HDD 3.5"" 2TB Western Digital Gold SATA-III (WD2005FBYZ)",WD2005FBYZ,54 783,"60 075,89"
"Точка доступа Wi-Fi, Ubiquiti UniFi AP-AC PRO, 1000 Mbps",UAP-AC-PRO,232 311,"60 128,97"
Принтер струйный Epson L-121 СНПЧ А4 (C11CD76414),C11CD76414,253 044,"60 428,57"
"Монитор 27"" Samsung LC27F396FHIX/CI 1920х1080 16:9 VA 60ГЦ Curved Black",LC27F396FHIX/CI,69 601,"63 660,71"
Купольная видеокамера Dahua DH-IPC-HDBW3441RP-ZS,DH-IPC-HDBW3441RP-ZS,249 084,"65 754,46"
Сетевой видеорегистратор Dahua DHI-NVR4216-4KS2/L,DHI-NVR4216-4KS2/L,249 081,"65 806,44"
Жесткий диск 6ТБ Dahua (ST6000VX0003),ST6000VX0003,227 750,"67 142,85"
"Монитор 27"" Samsung LC27R500FHIXCI 1920x1080 16:9 VA 60ГЦ (HDMI + VGA) Black",LC27R500FHIXCI,148 826,"71 808,04"
Купольная видеокамера Dahua DH-IPC-HDBW2431RP-ZAS-S2,DH-IPC-HDBW2431RP-ZAS-S2,258 280,"74 606,25"
"Монитор 27"" Samsung LF27T350FHIXCI 1920x1080 16:9 IPS 75ГЦ (HDMI+VGA) Black",LF27T350FHIXCI,228 913,"75 143,04"
"Процессор Intel Core i5-11400 (C6/12T, 12M Smart Cache, 2.6 up to 4.4GHz) LGA1200 OEM",CM8070804497015,242 090,"76 142,33"
Жесткий диск Dahua WD62PURX HDD 6Tb,Dahua WD62PURX HDD 6Tb,256 836,"77 611,91"
AIR-DNA-E-5Y Ключ программный Aironet DNA Essentials 5 Year Term License,AIR-DNA-E-5Y,267 838,"77 925,89"
МФУ лазерное HP Laser 137fnw A4-A-F-N-W (4ZB84A),4ZB84A,172 477,"83 499,10"
"Cisco 6851 Phone for MPP, CE Power Adapter",CP-6851-3PW-CE-K9=,262 456,"84 705,36"
Смартфон GSM Huawei P Smart 2021 128Gb THX-6.67-48-4 Black,P Smart 2021 128Gb Black,232 354,"85 707,00"
"Внутренний HDD 3.5"" 8TB Toshiba MG SATA-III (MG06ACA800E)",MG06ACA800E,257 929,"92 334,82"
"Внутренний HDD 3.5"" 6TB Seagate Exos 7E8 SATA-III (ST6000NM021A)",ST6000NM021A,245 236,"92 857,14"
Купольная видеокамера Dahua DH-IPC-EB5541P-AS,DH-IPC-EB5541P-AS,235 271,"94 376,79"
WiFi6 Long-Range Enterprise AP,U6-LR,264 142,"98 611,37"
Жесткий диск Dahua WD82PURX HDD 8Tb,Dahua WD82PURX HDD 8Tb,254 950,"118 720,66"
"Компьютер Neo Office (Ci3-12100 3,3GHz/8GB/240GB/Tomahawk)",VND00013,268 632,"119 260,72"
Коммутатор Dahua DH-PFS4226-24GT2GF-240,DH-PFS4226-24GT2GF-240,249 082,"128 035,71"
"Шкаф серверный, ITK, LINEA N 24U 600х1000мм, 19'' LN35-24U61-P",LN35-24U61-P,254 588,"133 928,57"
Cisco 8800 series KEM for Audio IP Phones with MPP firmware,CP-8800-A-KEM-3PC=,262 460,"135 066,97"
"Внутренний HDD 3.5"" 10TB Toshiba MG SATA-III (MG06ACA10TE)",MG06ACA10TE,255 322,"142 089,28"
NIM-ES2-8 Плата коммуникационная 8-port Layer 2 GE Switch Network Interface Module,NIM-ES2-8,152 977,"149 542,86"
Шкаф серверный SHIP 601S.6024.03.100 24U 600*1000*1200 мм,VND 601S.6024.03.100,223 015,"151 256,25"
"Системный блок Neo Multimedia (Ci5-7400 3,0GHz/4GB/1TB/GT1030 2GB/DVD-RW)",84165LC,63 627,"156 574,41"
C9105AXI-E Точка доступа сети WiFi Cisco Catalyst 9105AX Series,C9105AXI-E,266 202,"159 917,86"
МФУ лазерное HP LaserJet Pro M428fdn A4-A-D-F-N (W1A32A)/Картридж HP №59X Black 10 000 стр.,W1A32A,258 220,"164 321,43"
"Системный блок Neo Office (Ci5-11400 2,6Ghz/8GB/256GB/Wi-Fi/LOOP)",91781LC,246 905,"168 766,97"
Коммутатор TP-Link TL-SG3452,TL-SG3452,268 529,"174 546,43"
"Ноутбук 15,6'' Lenovo IdeaPad 3 (51035G1-8-512-D) (UZ) (81WE0181RK)",81WE0181RK,230 982,"188 092,28"
